基金代码,基金名称,7日年化,14日年化,28日年化,日期
002895,华夏天利货币B,2.598%,2.6203%,2.7095%,2019-07-17
000855,上投摩根天添盈货币A,2.293%,2.3311%,2.3519%,2019-07-17
000380,景顺长城景益货币A,2.659%,2.5599%,2.4831%,2019-07-17
000528,工银薪金货币A,2.543%,2.5005%,2.618%,2019-07-17
004185,江信增利货币A,1.986%,2.0821%,2.1804%,2019-07-17
003034,平安交易型货币A,2.368%,2.3671%,2.6042%,2019-07-17
002183,广发天天红货币B,2.482%,2.5497%,2.6798%,2019-07-17
310339,申万菱信收益宝货币B,2.162%,2.0668%,2.114%,2019-07-17
150988,银河钱包货币A,3.141%,2.5848%,2.4713%,2019-07-17
519518,汇添富货币A,2.425%,2.3559%,2.3933%,2019-07-17
000580,中邮货币B,2.531%,2.9476%,2.4812%,2019-07-17
003043,交银活期通货币E,2.497%,2.5133%,2.6039%,2019-07-17
000759,平安财富宝货币,2.555%,2.5096%,2.7036%,2019-07-17
000730,博时现金宝货币A,2.589%,2.6135%,2.6615%,2019-07-17
000559,诺安天天宝A,2.245%,2.2297%,2.33%,2019-07-17
000638,富国富钱包货币,2.41%,2.4314%,2.5427%,2019-07-17
161622,融通汇财宝货币A,2.476%,2.5323%,2.5651%,2019-07-17
002248,新疆前海联合海盈货币B,2.427%,2.3957%,2.6086%,2019-07-17
003998,泓德添利货币B,2.321%,2.2273%,2.2115%,2019-07-17
675061,西部利得天添富货币A,2.531%,2.5297%,2.6851%,2019-07-17
000846,中融货币C,2.392%,2.3519%,2.9672%,2019-07-17
001937,兴银现金增利货币,2.352%,2.3346%,2.5168%,2019-07-17
000379,平安日增利货币,2.304%,2.2923%,2.4172%,2019-07-17
003752,工银如意货币A,2.365%,2.3655%,2.4703%,2019-07-17
004939,中欧滚钱宝货币C,2.411%,2.3959%,2.4401%,2019-07-17
040038,华安日日鑫货币A,2.408%,2.3913%,2.4429%,2019-07-17
240006,华宝现金宝货币A,2.403%,2.4466%,2.4929%,2019-07-17
001096,国寿安保聚宝盆货币,2.4%,2.433%,2.5537%,2019-07-17
000464,嘉实活期宝货币,2.519%,2.5069%,2.5694%,2019-07-17
002679,工银安盈货币A,2.261%,2.2254%,2.4995%,2019-07-17
001077,华夏现金宝货币A,2.418%,2.5074%,2.5748%,2019-07-17
004866,格林货币B,2.106%,2.1507%,2.2131%,2019-07-17
000816,南方理财金交易型货币A,2.104%,2.4814%,2.2833%,2019-07-17
000709,华安汇财通货币,2.483%,2.4392%,2.5135%,2019-07-17
003264,新华活期添利货币B,2.39%,2.3845%,2.3035%,2019-07-17
003678,中融现金增利货币A,2.344%,2.3712%,2.7089%,2019-07-17
000626,大成丰财宝货币A,2.29%,2.2821%,2.3316%,2019-07-17
004261,招商招禧宝货币A,2.339%,2.3381%,2.3486%,2019-07-17
001843,九泰日添金货币B,2.291%,2.2448%,2.2833%,2019-07-17
541011,汇丰晋信货币B,2.239%,2.1624%,2.2181%,2019-07-17
000980,汇添富添富通货币B,2.454%,2.5157%,2.5551%,2019-07-17
001973,光大耀钱包货币A,2.43%,2.4709%,2.5318%,2019-07-17
000533,永赢货币,2.569%,2.5898%,2.6461%,2019-07-17
002847,天弘现金管家货币E,2.548%,2.5123%,2.4627%,2019-07-17
004372,金鹰增益货币A,2.52%,2.5193%,2.5963%,2019-07-17
003480,财通资管鑫管家货币B,2.713%,2.6276%,2.7657%,2019-07-17
420006,天弘现金管家货币A,2.547%,2.511%,2.4621%,2019-07-17
730103,方正富邦货币B,2.303%,2.289%,2.439%,2019-07-17
002788,融通现金宝货币A,2.407%,2.4067%,2.5486%,2019-07-17
005017,长江优享货币B,2.305%,2.2774%,2.3031%,2019-07-17
003228,浦银安盛日日鑫货币A,2.137%,2.159%,2.3488%,2019-07-17
000600,汇添富和聚宝货币,2.378%,2.387%,2.4468%,2019-07-17
002324,南方日添益A,2.407%,2.4657%,2.5417%,2019-07-17
000605,银华多利宝货币B,2.448%,2.5003%,2.6835%,2019-07-17
202302,南方现金增利货币B,2.311%,2.4398%,2.5696%,2019-07-17
000907,农银红利日结货币A,2.316%,2.3936%,2.3564%,2019-07-17
000726,大成添利宝货币E,2.288%,2.2554%,2.3767%,2019-07-17
003874,浙商日添金货币A,2.359%,2.3692%,2.3708%,2019-07-17
161615,融通易支付货币B,2.464%,2.4949%,2.5825%,2019-07-17
001931,国寿安保鑫钱包货币,2.345%,2.3783%,2.4835%,2019-07-17
002647,中科沃土货币B,2.272%,2.3834%,2.4591%,2019-07-17
005148,新华活期添利货币E,2.348%,2.3432%,2.2637%,2019-07-17
550011,信诚货币B,2.261%,2.2363%,2.8329%,2019-07-17
519508,万家货币A,2.202%,2.2229%,2.3888%,2019-07-17
180008,银华货币A,2.273%,2.2301%,2.2905%,2019-07-17
002185,泓德泓利货币B,2.283%,2.6859%,2.4306%,2019-07-17
004985,博时合晶货币,2.213%,2.1579%,2.1855%,2019-07-17
163820,中银货币B,2.366%,2.2738%,2.3084%,2019-07-17
000548,鹏华聚财通货币,2.353%,2.4433%,2.5634%,2019-07-17
000542,上银慧财宝货币A,2.343%,2.3582%,2.4196%,2019-07-17
003515,国泰利是宝货币,2.352%,2.3421%,2.3904%,2019-07-17
392002,中海货币B,2.278%,2.2657%,2.476%,2019-07-17
690210,民生加银现金增利货币B,2.375%,2.4966%,2.6866%,2019-07-17
000789,易方达龙宝货币A,2.336%,2.395%,2.4657%,2019-07-17
000883,中金现金管家B,2.39%,2.377%,2.7301%,2019-07-17
519506,海富通货币B,2.316%,2.3752%,2.5092%,2019-07-17
000682,信达澳银慧管家货币C,2.343%,2.2802%,2.2757%,2019-07-17
003246,华泰柏瑞天添宝货币A,2.404%,2.4715%,2.5842%,2019-07-17
003253,大成添益交易型货币B,2.357%,2.3582%,2.4645%,2019-07-17
001477,泰康薪意保货币A,2.106%,2.17%,2.4819%,2019-07-17
091005,大成货币B,2.288%,2.2311%,2.2498%,2019-07-17
583101,东吴货币B,2.521%,2.3706%,2.589%,2019-07-17
620011,金元顺安金元宝货币B,2.702%,2.708%,2.7643%,2019-07-17
004904,人保货币B,2.417%,2.4238%,2.6582%,2019-07-17
002195,中银机构现金管理货币,2.301%,2.3499%,2.5478%,2019-07-17
002852,招商财富宝交易型货币A,2.291%,2.3291%,2.4253%,2019-07-17
003185,建信货币B,2.325%,2.5221%,2.8435%,2019-07-17
000331,中加货币A,2.289%,2.3093%,2.4199%,2019-07-17
005202,兴业稳天盈货币B,2.49%,2.4953%,2.5957%,2019-07-17
004869,中融日日盈交易型货币B,2.283%,2.2877%,3.5621%,2019-07-17
000773,万家现金宝A,2.315%,2.3276%,2.4625%,2019-07-17
050003,博时现金收益货币A,2.329%,2.3321%,2.3626%,2019-07-17
001894,泰达宏利活期友货币A,2.784%,2.5787%,2.6724%,2019-07-17
000748,广发活期宝货币A,2.201%,2.222%,2.4125%,2019-07-17
003482,交银天鑫宝货币A,2.209%,2.1885%,2.2264%,2019-07-17
005056,东方红货币A,2.068%,1.9776%,2.1828%,2019-07-17
004770,海富通添益货币A,2.308%,2.2983%,2.469%,2019-07-17
210012,金鹰货币A,3.024%,2.6471%,2.689%,2019-07-17
004331,太平日日鑫货币B,2.598%,2.5659%,2.4597%,2019-07-17
100028,富国天时货币B,2.4%,2.389%,2.4326%,2019-07-17
217004,招商现金增值货币A,2.208%,2.2201%,2.326%,2019-07-17
001232,嘉合货币A,2.186%,2.0777%,2.9717%,2019-07-17
004152,先锋日添利B,2.2%,2.2735%,2.3218%,2019-07-17
519509,浦银安盛货币A,2.248%,2.4043%,2.5564%,2019-07-17
200003,长城货币A,2.407%,2.6011%,2.6493%,2019-07-17
004718,万家天添宝货币B,2.696%,2.7101%,3.0318%,2019-07-17
003364,长江乐享货币B,2.363%,2.2887%,2.3366%,2019-07-17
003391,建信天添益货币A,2.268%,2.3422%,3.1187%,2019-07-17
003393,建信天添益货币C,2.268%,2.3423%,3.1185%,2019-07-17
000785,华融现金增利货币A,2.279%,2.3308%,2.358%,2019-07-17
000644,招商招金宝货币A,2.128%,2.151%,2.0978%,2019-07-17
000651,招商招金宝货币B,2.128%,2.151%,2.2031%,2019-07-17
003968,交银天益宝货币A,2.198%,2.1915%,2.2258%,2019-07-17
001926,兴业鑫天盈货币B,3.387%,2.7887%,2.5458%,2019-07-17
002889,交银天利宝货币A,2.243%,2.2242%,2.6583%,2019-07-17
270014,广发货币B,2.33%,2.4076%,2.5397%,2019-07-17
740602,长安货币B,2.521%,2.3675%,2.4059%,2019-07-17
150005,银河银富货币A,2.269%,2.296%,2.3781%,2019-07-17
004700,前海联合汇盈货币B,2.201%,2.2922%,2.6039%,2019-07-17
000704,易方达天天增利货币A,2.214%,2.1655%,2.2212%,2019-07-17
160606,鹏华货币A,2.284%,2.1727%,2.2441%,2019-07-17
004060,博时兴盛货币,2.15%,2.0745%,2.0897%,2019-07-17
000901,国开货币A,2.326%,2.2947%,2.2836%,2019-07-17
090022,大成现金增利货币A,2.248%,2.2426%,2.245%,2019-07-17
000505,国寿安保货币A,2.261%,2.3008%,2.3822%,2019-07-17
002469,华泰柏瑞交易货币B,2.215%,2.1917%,2.5129%,2019-07-17
350004,天治天得利货币,2.165%,2.1432%,2.4526%,2019-07-17
000724,大成添利宝货币A,2.186%,2.1534%,2.2313%,2019-07-17
005151,红土创新优淳货币B,2.69%,2.8002%,2.6835%,2019-07-17
001916,新沃通宝A,2.284%,2.3181%,2.7347%,2019-07-17
000425,长盛添利宝货币B,2.575%,2.4705%,2.4436%,2019-07-17
002201,大成慧成货币B,2.131%,2.0809%,2.1192%,2019-07-17
002894,华夏天利货币A,2.352%,2.3746%,2.4636%,2019-07-17
004073,金元顺安金通宝货币B,2.193%,2.2269%,2.3347%,2019-07-17
004078,金信民发货币B,2.219%,2.1677%,2.3237%,2019-07-17
000569,鹏华增值宝货币,2.279%,2.274%,2.6482%,2019-07-17
003589,东吴增鑫宝货币B,2.183%,2.2028%,2.426%,2019-07-17
004494,华泰保兴货币B,2.181%,2.0861%,2.2365%,2019-07-17
002710,红塔红土人人宝货币B,2.218%,2.2211%,2.3594%,2019-07-17
003003,华夏现金增利货币A/E,2.381%,2.4225%,2.4392%,2019-07-17
000740,兴银货币B,2.149%,2.1093%,2.3359%,2019-07-17
000476,广发天天利货币B,2.249%,2.2543%,2.4372%,2019-07-17
000576,中邮货币A,2.338%,2.7353%,2.2638%,2019-07-17
002884,华润元大现金通货币B,2.214%,2.1972%,2.3277%,2019-07-17
400006,东方金账簿货币B,2.149%,2.1876%,2.3677%,2019-07-17
110016,易方达货币B,2.264%,2.203%,2.5392%,2019-07-17
003042,交银活期通货币A,2.25%,2.2672%,2.3578%,2019-07-17
002748,中欧货币D,2.136%,2.0923%,2.2448%,2019-07-17
166015,中欧货币B,2.136%,2.0922%,2.2448%,2019-07-17
041003,华安现金富利货币B,2.136%,2.2301%,2.4447%,2019-07-17
003585,先锋现金宝货币,1.915%,1.9527%,2.0963%,2019-07-17
020032,国泰现金管理货币B,2.275%,2.4115%,2.546%,2019-07-17
001987,东方金元宝货币,2.205%,2.1451%,2.6596%,2019-07-17
004120,国富安享货币,2.241%,2.3534%,2.8365%,2019-07-17
003997,泓德添利货币A,2.074%,1.9812%,1.9649%,2019-07-17
000325,华润元大现金收益货币B,2.061%,2.0248%,2.1257%,2019-07-17
002247,新疆前海联合海盈货币A,2.175%,2.1388%,2.3515%,2019-07-17
000847,中融货币A,2.142%,2.101%,2.7217%,2019-07-17
004097,农银汇理日日鑫交易型货币A,2.408%,2.3505%,2.3904%,2019-07-17
000588,招商招钱宝货币A,2.224%,2.3421%,2.3867%,2019-07-17
004286,华富天盈货币B,3.213%,2.8185%,2.6883%,2019-07-17
004787,渤海汇金汇添金货币B,2.093%,2.0677%,2.3276%,2019-07-17
004865,格林货币A,1.858%,1.8975%,1.9531%,2019-07-17
002958,财通财通宝货币B,2.141%,2.201%,2.2834%,2019-07-17
000903,新华活期添利货币A,2.143%,2.1375%,2.0649%,2019-07-17
000509,广发钱袋子货币A,2.18%,2.2428%,2.4817%,2019-07-17
519589,交银货币B,2.136%,2.1167%,2.0217%,2019-07-17
540011,汇丰晋信货币A,1.996%,1.9175%,1.9723%,2019-07-17
004589,民生加银腾元宝货币B,2.064%,1.9979%,2.5582%,2019-07-17
310338,申万菱信收益宝货币A,1.905%,1.8144%,1.8657%,2019-07-17
004121,兴银现金添利,2.164%,2.1447%,2.4571%,2019-07-17
000366,汇添富添富通货币A,2.209%,2.2702%,2.3093%,2019-07-17
001842,九泰日添金货币A,2.045%,1.9986%,2.0364%,2019-07-17
070029,嘉实安心货币B,2.023%,2.05%,2.0659%,2019-07-17
004849,信诚货币E,2.094%,2.0378%,2.6084%,2019-07-17
730003,方正富邦货币A,2.059%,2.0457%,2.1956%,2019-07-17
128011,国投瑞银货币B,2.239%,2.0764%,2.6456%,2019-07-17
003479,财通资管鑫管家货币A,2.465%,2.3807%,2.5191%,2019-07-17
000681,信达澳银慧管家货币A,2.191%,2.1399%,2.1105%,2019-07-17
000211,光大现金宝货币B,2.427%,1.8606%,1.8464%,2019-07-17
005016,长江优享货币A,2.059%,2.031%,2.0545%,2019-07-17
202301,南方现金增利货币A,2.071%,2.1996%,2.3294%,2019-07-17
000604,银华多利宝货币A,2.201%,2.2541%,2.4368%,2019-07-17
161608,融通易支付货币A,2.219%,2.2491%,2.3366%,2019-07-17
002646,中科沃土货币A,2.024%,2.1358%,2.2126%,2019-07-17
003423,国寿安保添利货币B,2.054%,2.083%,4.0475%,2019-07-17
163802,中银货币A,2.125%,2.0331%,2.0678%,2019-07-17
288101,华夏货币A,2.149%,2.1479%,2.6453%,2019-07-17
550010,信诚货币A,2.015%,1.9891%,2.591%,2019-07-17
690010,民生加银现金增利货币A,2.13%,2.2503%,2.4397%,2019-07-17
000882,中金现金管家A,2.145%,2.1322%,2.4851%,2019-07-17
392001,中海货币A,2.033%,2.0199%,2.2296%,2019-07-17
003252,大成添益交易型货币A,2.165%,2.1437%,2.1936%,2019-07-17
004717,万家天添宝货币A,2.496%,2.5206%,2.8402%,2019-07-17
090005,大成货币A,2.042%,1.9856%,2.0092%,2019-07-17
583001,东吴货币A,2.274%,2.1216%,2.349%,2019-07-17
003267,新华壹诺宝货币B,2.098%,2.1544%,1.9951%,2019-07-17
620010,金元顺安金元宝货币A,2.461%,2.4653%,2.5226%,2019-07-17
002184,泓德泓利货币A,2.036%,2.4384%,2.1837%,2019-07-17
004903,人保货币A,2.173%,2.1764%,2.4108%,2019-07-17
000439,国金鑫盈货币,2.63%,2.413%,2.4448%,2019-07-17
000713,上投摩根天添宝货币B,2.018%,2.0149%,2.1648%,2019-07-17
530002,建信货币A,2.08%,2.2767%,2.5968%,2019-07-17
001625,兴业添天盈货币B,2.766%,3.1638%,2.9764%,2019-07-17
630112,华商现金增利货币B,2.008%,2.0042%,2.1926%,2019-07-17
002912,兴业稳天盈货币A,2.244%,2.251%,2.3495%,2019-07-17
002883,华润元大现金通货币A,2.071%,2.0537%,2.1838%,2019-07-17
000722,兴业货币B,2.092%,2.2958%,2.3135%,2019-07-17
519505,海富通货币A,2.047%,2.1309%,2.2623%,2019-07-17
004330,太平日日鑫货币A,2.351%,2.319%,2.2135%,2019-07-17
